age,d13,d13_sd,d18,d18_sd,d13o,d13o_sd,dp17,dp17.sd,,,,,,,,
6535,-4.6,0.08,-9.4,0.09,-24.21,1.60,,,,,,,,,,
6590,-4.8,0.04,-9.6,0.33,-24.31,0.56,,,,,,,,,,
6647,-6.0,0.09,-8.8,0.07,-24.60,0.22,-102,15,,,,,,,,
6662,-6.2,0.23,-8.8,0.25,-24.61,0.57,,,,,,,,,,
6677,-6.9,0.09,-9.5,0.20,-24.45,0.35,,,,,,,,,,
6693,-6.1,0.27,-8.4,0.41,-23.92,0.06,,,,,,,,,,
6708,-7.0,0.23,-9.2,0.25,-24.59,0.57,,,,,,,,,,
6723,-7.3,0.23,-9.4,0.25,-25.04,0.57,,,,,,,,,,
6753,-6.0,0.23,-9.0,0.25,-24.41,0.29,,,,,,,,,,
6769,-6.7,0.20,-9.3,0.23,-24.48,0.57,,,,,,,,,,
6800,-6.0,0.20,-9.1,0.21,-24.81,0.04,,,,,,,,,,
6815,-5.5,0.11,-8.9,0.10,-24.48,0.23,,,,,,,,,,
6847,-6.7,0.88,-9.5,0.38,-24.36,0.19,,,,,,,,,,
6877,-6.7,0.67,-9.3,0.30,-24.66,0.26,,,,,,,,,,
6899,-7.9,0.06,-9.8,0.15,-24.89,0.39,,,,,,,,,,
6920,-7.1,0.2,-9.1,0.1,-23.90,2.05,,,,,,,,,,
6941,-7.0,0.3,-9.1,0.2,-24.40,0.41,,,,,,,,,,
6965,-7.4,0.1,-9.3,0.2,-24.63,0.17,,,,,,,,,,
6968,-7.5,0.2,-9.0,0.2,-24.63,0.35,,,,,,,,,,
6991,-6.3,0.1,-9.1,0.1,-25.18,0.29,,,,,,,,,,
6996,-7.0,0.2,-9.4,0.1,-24.75,0.55,,,,,,,,,,
7024,-6.8,0.1,-9.1,0.2,-24.27,2.46,,,,,,,,,,
7052,-6.5,0.2,-8.7,0.1,-25.13,0.30,,,,,,,,,,
7080,-7.2,0.1,-9.4,0.1,-25.11,0.60,,,,,,,,,,
7108,-6.6,0.3,-9.2,0.1,-25.62,0.93,,,,,,,,,,
7135,-6.6,0.3,-8.7,0.3,-24.89,0.38,,,,,,,,,,
7148,-7.1,0.3,-9.3,0.1,-24.96,0.42,,,,,,,,,,
7163,-6.9,0.4,-9.3,0.3,-24.70,0.59,,,,,,,,,,
7168,-6.7,0.7,-8.8,0.2,-24.46,0.66,,,,,,,,,,
7191,-6.9,0.1,-9.3,0.3,-24.48,0.08,,,,,,,,,,
7224,-7.0,0.1,-9.5,0.5,-23.97,0.48,,,,,,,,,,
7240,-7.3,0.1,-9.3,0.1,-24.28,0.13,,,,,,,,,,
7261,-6.5,0.4,-9.0,0.1,-24.27,0.12,,,,,,,,,,
7276,-6.5,0.1,-8.9,0.2,-24.49,0.45,,,,,,,,,,
7281,-6.5,0.2,-8.8,0.1,-24.52,0.49,,,,,,,,,,
7301,-7.0,0.2,-9.9,0.1,-24.21,0.02,,,,,,,,,,
7331,-5.9,0.3,-8.5,0.7,-25.19,0.88,,,,,,,,,,
7365,-6.2,0.23,-8.5,0.25,-24.82,0.57,,,,,,,,,,
7375,-6.2,0.23,-8.8,0.25,-24.52,0.57,,,,,,,,,,
7484,-6.7,0.2,-9.2,0.1,-25.07,0.81,,,,,,,,,,
7549,-5.7,0.23,-8.8,0.25,-24.78,0.57,,,,,,,,,,
,,,,,,,,,,,,,,,,
