"","L","MAP","MAT","PET_A_A","PfPCQ","R_PCQ_D","S_z","deviance","f_R","f_soil","h","pCO2","z"
"1",8.63968384926006,150.645182557531,2.44111009535715,180.405446377056,0.0877409873354019,0.0777544390689194,116.252578879952,25.702410119313,0.0281459303509955,0.235443196230033,0.0804985988120002,110.035197675627,0
"2",8.65964014331613,151.830671398275,2.20105845915035,165.840549596178,0.0871363494474755,0.0623803879542371,88.0169712669095,25.702410119313,0.0270948463877605,0.230603644611376,0.0916246736647177,95.165767957191,0
"3",8.63882278033326,153.255444573027,2.13285807825011,166.377276152911,0.0860068746397065,0.0601033393108993,80.157863701354,25.702410119313,0.0272375733839007,0.23088630221173,0.0948142065323915,93.2141094377651,0
"4",8.66902920264972,150.07445220026,2.38775054558126,178.017045640585,0.0855599693136991,0.0688407524813197,76.3194298564521,25.702410119313,0.0281091632491817,0.23165250418915,0.0776512810082823,89.4973244709958,0
"5",8.67405033850854,152.95890431168,2.26879763868809,171.453015081228,0.0857620805575716,0.064010366339392,82.5160134591267,25.702410119313,0.0276972173904898,0.235454379528478,0.0846025898750078,97.9746017099283,0
"6",8.79042506423951,153.211377600882,2.34279420299702,179.096798786236,0.0863725235153582,0.0740342141207863,93.5507252171258,25.702410119313,0.0286708719885172,0.235112425713038,0.0773758999049387,101.839129527042,0
"7",8.74100165420574,153.170617266037,2.33152134467117,175.913477575815,0.0861479958798237,0.0680070585203656,92.7950695255404,25.702410119313,0.0280889582780896,0.230252365831055,0.0866220735833494,102.130223800261,0
"8",8.70093200908482,152.098257343296,2.39512782479032,175.552860157339,0.0856834306312373,0.070423983687846,102.495092234438,25.702410119313,0.0280547742330584,0.232019350669537,0.082828051860368,106.672943776316,0
"9",8.79486573864678,153.78915887365,2.11454997730145,165.365959784444,0.0852540932596362,0.0573238421808419,73.4355976409575,25.702410119313,0.0267656783247338,0.228634947482938,0.0891237150922049,90.2355491602339,0
"10",8.67306813995177,150.995739757856,2.42232003315096,176.943100284443,0.0863407367611795,0.0873451627551464,132.275196114216,25.702410119313,0.0280632069713605,0.228053897665101,0.0730791737372227,115.77321848887,0
"11",8.66816767643707,152.047146620475,2.17024953060173,168.073896436138,0.0874877430449441,0.0586853963925136,80.1774449311307,25.702410119313,0.0272198305618792,0.230673314944417,0.0915138837398028,96.3939409993181,0
"12",8.50948605117384,154.908103741847,2.14632300932476,165.010513107393,0.08606324945035,0.0537779510511846,70.3866385639326,25.702410119313,0.0266468986748816,0.226784375279572,0.09413526344006,88.7295270949753,0
"13",8.54221387259502,153.55038133715,2.38453410171689,178.971119909646,0.0863646392517324,0.0724487960136321,95.2275389582983,25.702410119313,0.027494501036342,0.233576800981932,0.080427902327878,104.186115106962,0
"14",8.70540710808591,153.085541878994,2.19531454430667,167.853260084523,0.0863492338662367,0.0558675057369923,68.2765382379747,25.702410119313,0.0275827867619983,0.232484026495578,0.091094032736615,91.5709784953932,0
"15",8.79170718003713,160.672905265553,2.26428356107621,169.048215497388,0.088230592390356,0.0630469556039837,79.9247220797501,25.702410119313,0.0276674271233849,0.231504642777903,0.080283200355381,96.8126712845874,0
"16",8.54162932707024,149.206845338706,2.50334668042576,179.111533482378,0.086088380807186,0.0818788880937582,130.905090980805,25.702410119313,0.0287669360817126,0.232252098563299,0.0794275214993689,113.655599786556,0
"17",8.62632755284644,151.049516636648,2.47381166944042,180.126185051629,0.0855887927343527,0.0771141098531198,112.177137864989,25.702410119313,0.0262867984600139,0.232796278799009,0.0688208109884822,105.80225460081,0
"18",8.67129371736388,162.649836814095,2.30333535694227,170.996523362787,0.0835329293865686,0.0755814725846531,114.292690598619,25.702410119313,0.0275334286485203,0.219529695133539,0.0732500034193709,108.191895134643,0
"19",8.58830954098343,151.746481609875,2.44457426952249,179.30109369918,0.0867190556989479,0.0773600384945971,121.073512733817,25.702410119313,0.0275874372648392,0.230950354429012,0.0780946236104153,115.934636349825,0
"20",8.54187763297166,153.328885320958,2.33188168801599,174.819249401781,0.0850438128543393,0.0652407886991169,86.5164035248487,25.702410119313,0.027710099145716,0.231730327021099,0.0845335484801772,97.6012233762966,0
"21",8.56849577565687,153.911056281162,2.24043965018093,170.154075021881,0.0892483043839052,0.0634191546438651,89.1451039249633,25.702410119313,0.0278983106833112,0.230802840929744,0.0949155249754776,101.840991836863,0
"22",8.74847680313806,153.82191495139,2.1656781683629,172.0809045991,0.0857481926797022,0.0577009735322286,71.1845035081683,25.702410119313,0.0271900814410905,0.232483495590657,0.0904750520515501,94.924755233975,0
"23",8.70948906603653,151.025949745181,2.43796442305135,176.238762378619,0.087270829770858,0.0775719577642178,114.237415501637,25.702410119313,0.0280598381003672,0.229282882144743,0.0802407696352911,112.007641887658,0
"24",8.54918290052514,154.827943496972,2.42570755892667,173.764669548181,0.0854226700935106,0.0847434431851369,141.381319630835,25.702410119313,0.0275410036362541,0.235059023835669,0.0717836591802664,111.455201021887,0
"25",8.62305076877211,150.238668188877,2.43629271244695,172.703163512563,0.0869584099969666,0.0868607296351393,158.460156642275,25.702410119313,0.0278669898061292,0.229827498615807,0.0704136751470141,112.725695417772,0
"26",8.63504779816949,150.90436086268,2.40888382837754,179.995141913453,0.0849233818911798,0.0736039341242036,109.999523082151,25.702410119313,0.0280968464664581,0.227774835464917,0.0813693783445617,108.711872773145,0
"27",8.62308922710427,146.658348988126,2.43188096153444,170.958589175631,0.0865086441131834,0.0915013940018072,168.899937655193,25.702410119313,0.0273340134937188,0.229911913580231,0.0696289663610885,109.221351771338,0
"28",8.66386334560639,150.20337876988,2.10869766492789,154.609682033802,0.0865328597620632,0.0875061373093929,174.283736699017,25.702410119313,0.0272088698995708,0.228122875569544,0.05525867946249,98.006630020814,0
"29",8.63624957748481,151.4041367182,2.39144008538771,171.393555246913,0.085134762851092,0.0887737242400296,166.152575217906,25.702410119313,0.0285114180868171,0.235349586909832,0.0684928131274939,114.935085030627,0
"30",8.61540245825945,157.514127627816,2.46986824913865,179.020198794151,0.0862631109684393,0.0852945084798352,148.29779169494,25.702410119313,0.0277893715800552,0.23674593250446,0.0737973262852386,117.1122156337,0
"31",8.58759911829591,148.411674562689,2.07488924480035,152.213842226275,0.0861123133797398,0.0775797499228898,152.371299561937,25.702410119313,0.0274210128771551,0.221989077533484,0.063644569395474,92.8035039454994,0
"32",8.62792306841703,146.720070762851,2.45833772131237,182.339425118305,0.086465827788573,0.082691184167624,142.76229820181,25.702410119313,0.0279914176406778,0.221733050821247,0.0740518138511621,115.909354670663,0
"33",8.53769169107997,155.631277394971,2.44864070839914,171.670881608856,0.0869271195669078,0.0837183688749969,132.560376518194,25.702410119313,0.0279096570472265,0.22987239861669,0.075424121325015,116.184438710481,0
"34",8.68001390646215,152.814997819611,2.45345748550498,185.594356698819,0.0867742134915652,0.0835385394783264,131.697175179948,25.702410119313,0.0280509476646752,0.231223005222388,0.0788795133419083,115.853022197006,0
"35",8.68052720358218,154.22742236945,2.45660339250229,179.45420538618,0.0854757863714389,0.0868436584106206,153.498888995839,25.702410119313,0.0276912335111845,0.231528671633175,0.0756920059235796,115.474334597328,0
"36",8.5162301657213,154.407523390501,2.46414424003571,176.801087280673,0.0862756709344866,0.0839787128677409,151.437764346702,25.702410119313,0.0279789348190793,0.229741190154252,0.0735212722557174,113.866121537082,0
"37",8.73326508218913,150.018933415119,2.31479467511962,170.879803619448,0.0885659034494079,0.0819292340569285,145.124129840857,25.702410119313,0.0279568329573545,0.246612268450961,0.0710930173984679,114.724481455252,0
"38",8.64124174131055,155.026942927271,2.48299924029938,182.253548271359,0.0869930063839282,0.083660364890819,133.147674980243,25.702410119313,0.0282342775438164,0.230272681234988,0.0766195231732115,115.809212458828,0
"39",8.56022652552554,151.752096733456,2.37558965167983,169.185223990955,0.0870432027935037,0.0861241494405192,152.771655092082,25.702410119313,0.02825206631119,0.233763498552243,0.0704789325468361,115.132356336175,0
"40",8.68925286298416,153.62810745499,2.45314962891913,175.749344168366,0.0851340186127846,0.083164081277923,134.467996841172,25.702410119313,0.0285658645677862,0.230033704415197,0.0760439358353241,113.592319879704,0
"41",8.57226158276449,144.612065571019,2.53447875273869,186.758587395,0.087928473935924,0.0852966646925001,135.269645373325,25.702410119313,0.0285921701972227,0.23071062589358,0.0790597590753955,116.874393248003,0
